"DATE","Botswana","Lesotho","Namibia","SouthAfrica","Swaziland"
1950,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1951,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1952,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1953,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1954,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1955,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1956,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1957,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1958,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1959,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1960,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1961,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1962,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1963,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1964,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1965,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1966,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1967,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1968,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1969,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1970,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1971,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1972,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1973,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1974,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1975,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1976,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1977,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1978,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1979,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1980,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1981,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1982,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1983,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1984,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1985,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1986,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1987,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1988,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1989,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1990,0.223568762598373,0.260391157496133,0.462459123583734,0.214255371902487,0.496637526002004
1991,0.208903465536897,0.232050718495039,0.424469470628154,0.204163981301201,0.460298436942031
1992,0.19495860692661,0.205935945369583,0.387351753028162,0.194430281120381,0.424376579532647
1993,0.181730768128715,0.182063350455446,0.351497490406042,0.185052737012307,0.389236279203919
1994,0.169211785152697,0.160399122476485,0.317243457760009,0.176028648825918,0.355210167647497
1995,0.157389325977787,0.140868806094261,0.284861239114487,0.167354251109491,0.322587503795235
1996,0.146247470046594,0.123367099349897,0.254552051837842,0.159024814332636,0.291605944141195
1997,0.135767275898988,0.107767070410323,0.226446604154546,0.151034745523037,0.262447094997996
1998,0.125927325551602,0.093928334255594,0.200609219191561,0.143377687173232,0.235235739079182
1999,0.116704236824989,0.0817039458159543,0.177045137950845,0.136046613435061,0.210042269211442
2000,0.108073137262153,0.0709459388856697,0.155709808326706,0.129033922779378,0.186887625609881
2001,0.100008095489310,0.0615095638181383,0.136519040832914,0.122331526453245,0.165749930639643
2002,0.0924825077934378,0.0532563547092014,0.119359103935049,0.115930932212676,0.146572030363013
2003,0.0854694393088455,0.0460561966450711,0.104096079652634,0.109823322944393,0.129269253274345
2004,0.0789419205157767,0.0397885754230426,0.090584051276677,0.103999629913213,0.113736846247413
2005,0.0728732007721767,0.0343431852590305,0.0786719148498603,0.0984506004819693,0.099856712283055
2006,0.0672369613509025,0.0296200521088773,0.068208777061605,0.0931668602476342,0.0875032291098393
2007,0.0620074909703528,0.0255293071559053,0.0590480207285167,0.0881389696209354,0.0765480569191303
2008,0.0571598271219034,0.0219907207342829,0.0510501902200787,0.083357474947237,0.066863941167316
2009,0.0526698666475036,0.0189330839345259,0.0440848825794127,0.0788129543248466,0.0583275825849553
2010,0.0485144490390165,0.0162935047070013,0.0380318362761351,0.0744960583236827,0.0508216853605399
2011,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2012,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2013,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2014,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2015,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2016,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2017,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2018,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2019,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2020,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2021,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2022,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2023,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2024,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2025,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2026,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2027,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2028,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2029,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2030,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2031,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2032,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2033,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2034,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2035,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2036,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2037,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2038,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2039,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2040,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2041,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
2042,0.0446714158476946,0.0140166679895721,0.0327813981658152,0.070397545843681,0.0442363117591915
